Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense Against the Dark Arts,Divination,Muggle Studies,Ancient Runes,History of Magic,Transfiguration,Potions,Care of Magical Creatures,Charms,Flying
440,Hufflepuff,Merry,Martinson,2001-09-04,Left,29261.0,632.6985773843139,8.361642264560599,-6.3269857738431385,2.651,-288.0294399025967,358.42320819029334,3.6724907310802646,1027.2653457734214,2.4006246999676053,1.7942872420811151,-244.96681,59.36
1334,Ravenclaw,Jere,Bogan,1999-05-13,Right,48008.0,-799.9813302797894,2.9805633351187333,7.999813302797898,2.753,608.3502143086955,618.4295808990122,5.255572927891633,1045.339945644134,8.140323593405379,0.3763849355835932,-230.72544,-15.19
147,Gryffindor,Wilford,Stewart,2001-05-02,Right,35843.0,489.89425324822,-3.6530554555555073,-4.8989425324822005,6.509,-349.7733274236956,627.3851026449479,-4.990578109673786,972.2727747958672,4.661388683799714,1.0580512403618028,-248.8942,201.19
788,Ravenclaw,Brianne,Redmond,1998-03-17,Left,60024.0,-490.4680078747834,3.8734137770286967,4.904680078747834,4.95,690.0290189496634,640.0176552666418,1.7613642681647228,1049.2112718504247,5.409010155611038,-1.0939520427952556,-232.36958,16.24
1125,Gryffindor,Lawrence,Johnson,1999-10-31,Right,77257.0,534.7103880700055,-3.649919900002279,-5.347103880700055,3.557,-944.5888986797544,645.9827462913884,-7.248212055516731,943.067345200007,2.8288757339325725,-0.9424319544988564,-256.35784,242.13
287,Hufflepuff,Jody,Ricci,1999-05-04,Left,47886.0,480.9236332127162,3.87089729521846,-4.809236332127161,5.445,-428.61199457775285,378.77825263632377,7.971454372498657,1048.0572984720388,5.989586767074523,0.3085015132489081,-243.52366,-55.79
846,Hufflepuff,Lupe,Durand,1998-01-30,Right,55709.0,418.22819698900565,6.951079731592046,-4.182281969890057,3.956,-343.2491558674629,363.8055380216672,5.342627475546894,1038.6650935416403,1.8865186525673088,-0.6305197203666938,-243.8071,-20.89
1003,Ravenclaw,Denver,George,1999-10-04,Left,47161.0,-480.56377767091215,2.4559029373697907,4.805637776709122,5.617000000000001,640.088355024096,618.259836477504,7.517600261627619,1060.6769187820807,10.3554754697621,0.1794074493541644,-230.27987,-51.02
1527,Hufflepuff,Vicente,Palmer,1999-07-30,Right,50617.0,370.4664774772233,4.925449287758791,-3.7046647747722328,6.25,-431.2466092993984,422.86407971283774,9.323600636221856,1039.166929876264,7.02275154006032,-0.0176775771287459,-240.55651,-47.29
223,Slytherin,Dudley,Cleary,2001-02-18,Right,21194.0,-705.767878939079,-2.9405134217949063,7.05767878939079,-4.283,-367.96977682326536,412.7205784719457,4.903436239100328,1035.4937554309354,,-0.2309088981810334,-244.6205,-20.32
1599,Hufflepuff,Kylie,Nowak,2000-08-21,Left,48639.0,688.9119887739912,5.4210456374755775,-6.8891198877399145,6.593,-234.2079109153404,339.7751540064821,7.208415443067706,1034.9280038756551,2.0522148736362857,0.1505317099492033,-244.02063,-54.77
1345,Hufflepuff,Porter,Healy,1998-09-17,Right,52262.0,,4.635848773565625,-5.003989180551762,4.203,-323.8562005317057,453.818818122113,2.689073216747268,1033.4832604803912,4.411228191114517,0.881427523879249,-245.23264,43.25
1176,Hufflepuff,Elma,Hamlin,1997-10-08,Left,55696.0,496.1828615285049,5.887822552794202,-4.961828615285049,5.118,-590.8899546843993,401.7253781341812,5.0090296101888185,1054.9371448025945,4.927521498260714,0.8401360802240724,-244.09586,-6.84
353,Gryffindor,Keven,Gore,1998-10-11,Right,49462.0,389.7293771438892,-4.1147017613078365,-3.897293771438892,4.746,-751.1361604475928,621.2612330860243,-6.34973300994116,964.0600757542616,3.962343724096239,0.5328063972806351,-252.15568,219.68
489,Hufflepuff,Antwan,Swanson,1997-05-18,Right,60935.0,600.6232282303622,1.7106921953113616,-6.006232282303622,8.048,-760.7673327500871,,6.3179158074043045,1079.7451018169058,7.058323073732593,-1.407672255592496,-245.19035,-76.83
1303,Hufflepuff,Ivonne,Binder,1999-12-03,Left,80251.0,209.9412917917984,4.801150623947773,-2.0994129179179835,6.005,-869.4265838493643,353.9804921454713,5.560624366609385,1090.2901701302542,3.5240943965204985,1.09007489940156,-243.62155,-103.27
